E, [2017-02-26T13:57:52.018127 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:135:in `yaml'
E, [2017-02-26T13:57:52.018153 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:123:in `combined_hash'
E, [2017-02-26T13:57:52.018169 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2017-02-26T13:57:52.018182 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:152:in `data'
E, [2017-02-26T13:57:52.018197 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-02-26T13:57:52.018210 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-02-26T13:57:52.018223 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-02-26T13:57:52.018237 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-02-26T13:57:52.018250 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-02-26T13:57:52.018267 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-02-26T13:57:52.018281 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-02-26T13:57:52.018295 #11262] ERROR -- Kitchen: /usr/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-02-26T13:57:52.018308 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-02-26T13:57:52.018321 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-02-26T13:57:52.018334 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-02-26T13:57:52.018348 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor/command.rb:27:in `run'
E, [2017-02-26T13:57:52.018361 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-02-26T13:57:52.018375 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-02-26T13:57:52.018388 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor.rb:369:in `dispatch'
E, [2017-02-26T13:57:52.018402 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/thor-0.19.4/lib/thor/base.rb:444:in `start'
E, [2017-02-26T13:57:52.018415 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-02-26T13:57:52.018433 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-02-26T13:57:52.018449 #11262] ERROR -- Kitchen: /var/lib/gems/2.3.0/gems/test-kitchen-1.15.0/bin/kitchen:13:in `<top (required)>'
E, [2017-02-26T13:57:52.018462 #11262] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `load'
E, [2017-02-26T13:57:52.018474 #11262] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `<main>'
E, [2017-02-26T13:57:52.018486 #11262] ERROR -- Kitchen: ----End Backtrace-----
